credit_score,annual_income,debt_to_income,employment_years,loan_amount,age
626.3,77258.76,0.4747,1.8,53637.73,48.3
694.0,119016.97,0.47,8.7,56374.56,31.9
648.8,30403.88,0.3376,1.8,91260.67,32.4
736.7,84556.57,0.3118,1.7,71092.66,46.9
727.2,102832.25,0.289,8.7,56617.99,46.8
531.8,106723.54,0.2573,2.4,58770.55,42.9
761.1,46680.25,0.0497,1.1,36684.4,50.4
656.2,71738.54,0.2359,22.5,37756.78,39.5
850.0,43181.01,0.3049,9.8,52925.47,50.5
775.7,42643.95,0.1191,4.1,64714.86,61.7
781.5,36149.93,0.227,2.5,100000.0,39.6
516.8,78158.82,0.3276,1.3,47184.67,58.0
845.3,63188.25,0.3005,0.5,52459.89,61.0
710.4,100459.44,0.514,1.0,76969.32,28.2
601.0,20000.0,0.4843,7.5,43809.52,56.1
731.6,36935.42,0.2407,7.7,24617.62,36.2
808.9,67470.36,0.4316,12.1,33719.81,60.9
581.6,135272.04,0.5228,7.1,36598.68,55.4
790.5,40352.05,0.2251,0.3,27165.02,38.2
681.5,24000.78,0.1592,4.6,20962.84,33.3
662.5,43171.48,0.6449,15.1,68830.8,39.2
673.8,55544.88,0.1415,5.0,91423.03,57.0
642.1,86451.76,0.3672,4.6,21299.04,50.2
722.5,101155.66,0.3579,15.7,100000.0,56.5
726.4,82463.5,0.1253,1.2,14512.79,46.6
788.3,55367.7,0.6798,12.4,49700.95,35.8
816.3,163265.19,0.1167,13.2,49613.97,42.9
681.6,41297.14,0.2293,27.5,22592.24,48.5
790.9,58111.62,0.2371,1.0,75409.36,58.6
615.8,77919.62,0.3592,0.3,35885.48,57.0
756.4,45187.59,0.1904,8.3,38097.85,29.9
620.8,52022.54,0.0692,6.0,19241.51,48.9
662.6,80029.36,0.4011,0.1,9710.91,18.0
753.7,37341.15,0.3497,2.1,18554.66,42.4
648.9,53222.46,0.1898,8.9,71565.01,43.9
744.7,54100.66,0.6438,7.4,13735.12,35.9
592.8,179154.91,0.2234,21.0,25235.09,51.5
650.9,87886.42,0.273,24.2,25917.33,30.2
747.8,41867.86,0.406,9.6,15652.29,39.5
823.1,85324.98,0.2808,5.9,32129.63,45.3
616.0,35032.89,0.2363,6.4,38052.3,55.4
828.7,72735.33,0.2682,10.8,37463.96,45.0
726.5,26300.66,0.1551,0.4,64506.57,65.5
850.0,84696.4,0.3534,3.5,48750.94,21.5
682.3,54690.89,0.4195,8.5,100000.0,46.1
666.5,30829.9,0.419,2.8,94597.26,59.2
731.1,72892.38,0.1266,4.9,43439.93,57.8
621.8,89962.58,0.1891,3.8,45446.37,46.5
715.6,71909.57,0.1834,3.1,34928.57,48.5
700.8,64797.42,0.142,4.8,54665.86,45.4
808.7,31212.05,0.2468,7.5,29502.39,44.3
732.3,88414.68,0.3194,2.9,41321.9,52.3
608.3,20509.35,0.1153,1.0,68797.57,58.5
603.8,44938.51,0.205,4.4,79892.72,32.3
631.2,156691.45,0.0869,4.1,67307.63,56.7
545.4,30103.62,0.3579,8.7,31071.78,31.4
538.6,24788.63,0.1522,15.8,41022.7,70.8
850.0,37604.52,0.447,4.3,17326.95,49.6
640.8,71171.64,0.3262,1.1,12085.32,61.2
806.0,56743.02,0.2484,10.1,40045.5,38.4
647.8,96226.69,0.2298,7.9,96600.43,38.7
674.0,60424.11,0.4135,9.5,8389.89,43.6
572.4,35270.47,0.3459,1.8,18910.81,53.3
804.4,92734.5,0.3328,11.9,70717.03,49.9
675.0,44685.64,0.1776,9.1,52153.94,70.7
836.1,81658.08,0.2279,12.8,48909.5,49.0
650.9,116265.25,0.3942,13.4,43185.77,42.3
806.4,75523.74,0.0646,0.3,88921.32,31.2
822.3,111396.49,0.1204,9.1,30377.09,37.4
588.1,32640.96,0.0787,4.5,35461.83,47.4
741.4,48034.33,0.1313,6.8,26225.96,46.9
624.9,64739.34,0.2165,2.0,17781.68,50.9
615.1,33316.6,0.1792,25.0,100000.0,52.9
715.0,113448.34,0.3137,6.5,25234.08,33.8
769.2,108448.92,0.2324,3.9,14228.98,47.0
811.5,74824.66,0.4609,10.6,53982.49,39.8
678.6,79743.55,0.0915,3.2,9458.22,51.2
783.3,55904.48,0.4827,3.0,40480.12,71.9
749.5,35433.97,0.1933,24.2,12030.2,37.2
704.4,44092.3,0.6451,2.1,34061.68,65.7
630.8,52652.99,0.4999,3.7,40647.3,42.4
708.3,66737.96,0.2652,3.9,13958.63,42.1
850.0,55879.15,0.1091,3.1,52491.95,64.1
631.5,68420.47,0.2135,18.9,58703.26,21.0
691.5,31316.52,0.1575,4.6,49079.98,73.4
634.5,41342.23,0.3557,7.1,15341.39,49.2
813.3,64885.03,0.2163,8.4,92507.33,24.8
847.2,95584.24,0.3758,0.8,34373.55,47.4
810.5,26993.53,0.2957,5.7,93247.5,36.3
850.0,70369.45,0.2859,5.6,43892.65,22.3
698.6,85437.23,0.3493,7.1,88483.69,51.4
837.0,57974.72,0.2589,4.0,58362.0,37.7
639.4,62248.11,0.2182,4.0,20372.96,29.3
827.4,49200.65,0.2393,6.8,76971.66,68.8
822.2,58726.59,0.064,2.9,24934.51,40.0
655.1,49883.14,0.5396,14.0,24028.51,47.0
779.1,28727.29,0.1952,2.3,18737.67,60.8
619.0,115863.39,0.2011,6.6,49425.84,43.2
593.3,69975.19,0.1481,0.4,45061.4,40.1
594.0,46414.79,0.1103,12.4,44153.57,36.0
616.7,114272.03,0.3964,3.4,11049.68,61.3
613.6,52407.57,0.2673,12.0,100000.0,48.7
695.1,81914.4,0.5558,8.2,53102.52,55.1
842.1,26590.92,0.1763,0.3,46399.83,29.6
683.6,44817.55,0.557,5.0,36612.79,40.2
636.3,101489.52,0.1871,11.6,29049.61,60.2
757.8,122785.91,0.185,19.4,48854.81,52.5
684.0,149929.66,0.4262,4.6,86311.58,45.9
710.8,120607.44,0.2036,7.2,16594.52,41.7
735.0,144668.76,0.1944,2.7,45533.78,40.7
738.2,43017.55,0.2294,10.8,32086.63,56.8
648.9,30299.59,0.2123,1.1,48243.72,30.9
683.8,20000.0,0.158,3.6,16591.47,40.4
777.7,63339.18,0.1701,1.6,33552.77,44.1
673.5,53492.4,0.5017,2.8,55915.93,51.5
684.2,127516.04,0.1922,3.3,90165.43,57.9
727.8,53873.77,0.2553,2.3,45137.84,54.3
736.9,134090.65,0.2932,5.4,100000.0,64.0
678.1,27855.36,0.1205,2.2,35193.79,44.7
748.2,143851.09,0.2237,2.1,47847.22,30.0
702.9,58310.51,0.2006,10.5,18398.57,61.8
598.8,118722.43,0.0883,3.9,50004.68,38.5
755.1,98426.61,0.304,2.0,26155.1,45.4
634.0,39499.77,0.2458,0.1,74332.8,39.9
850.0,94626.76,0.3381,5.3,14075.95,59.8
726.7,45016.54,0.3416,8.7,9422.3,44.6
681.1,94355.94,0.2191,4.6,11491.98,40.4
771.6,81293.15,0.1651,3.7,68303.28,47.0
820.7,74993.85,0.2995,3.7,29929.01,61.9
824.8,56199.4,0.235,10.7,40239.98,33.4
728.1,53962.59,0.2818,0.8,33067.29,75.0
789.5,62816.88,0.1244,1.7,69851.94,52.1
760.3,20000.0,0.1122,10.0,15464.79,29.5
711.3,98989.94,0.2081,0.5,23046.25,28.4
583.2,58619.84,0.1668,2.5,31872.24,54.8
706.0,67859.63,0.3084,10.9,60315.26,32.7
498.8,38435.84,0.188,13.4,27614.33,53.1
633.4,70796.59,0.206,7.7,46606.62,36.9
813.1,48376.35,0.2878,22.3,64483.93,42.2
718.5,133576.55,0.2502,5.9,42727.73,37.3
700.8,30245.93,0.4111,10.1,29818.79,49.5
634.4,112932.1,0.3289,4.2,47417.04,63.8
635.9,40850.87,0.5005,3.0,32437.66,60.6
649.4,72804.77,0.1661,6.4,16646.74,65.0
592.9,53506.9,0.2278,4.1,28746.71,42.2
522.5,37488.52,0.2537,0.3,17128.85,28.1
786.6,21796.97,0.0742,0.4,73621.18,34.9
836.4,87625.94,0.2739,3.2,27195.02,49.6
653.0,25735.32,0.1116,8.2,11058.15,34.5
765.4,48002.22,0.0542,1.2,47681.16,54.3
605.4,116004.96,0.1533,2.1,100000.0,58.2
732.0,117710.01,0.344,8.9,19992.36,64.9
593.1,69760.18,0.4359,14.1,56409.03,48.2
776.7,26924.57,0.3482,1.0,13735.97,50.1
708.2,56518.0,0.275,4.5,28380.25,35.2
601.9,62453.98,0.209,3.6,35036.18,34.1
747.8,40337.22,0.4974,2.0,34318.37,51.4
835.9,117362.36,0.3364,6.7,55459.46,40.2
704.3,67676.08,0.147,0.1,47799.11,35.6
700.5,70375.22,0.5412,9.5,65767.99,49.0
704.7,57028.33,0.2901,10.1,57364.97,18.0
713.8,30462.12,0.1821,2.3,54525.35,45.7
803.8,37760.61,0.337,1.1,24755.45,57.4
807.1,36869.76,0.6246,2.3,28728.74,36.4
535.0,110001.18,0.1629,0.0,20061.56,32.3
800.5,61217.32,0.1463,10.3,52801.58,56.6
687.5,75228.87,0.1414,4.9,56608.36,47.5
837.1,73773.54,0.4597,6.5,44238.36,55.3
740.6,73425.69,0.3329,0.5,44878.02,35.9
780.8,138169.17,0.1992,1.2,12693.15,56.0
662.6,91721.12,0.505,3.1,53987.54,33.6
596.6,69780.03,0.5042,7.4,26010.43,46.9
723.0,64784.87,0.4961,16.3,56632.65,52.5
780.9,124387.26,0.2501,8.4,35813.07,49.7
762.7,24478.92,0.2736,5.0,57133.13,75.0
766.4,117311.5,0.4859,0.4,33488.39,47.0
721.8,46363.64,0.3295,2.8,48338.78,50.6
761.3,76758.05,0.1345,3.3,27914.22,59.2
637.6,52549.89,0.2752,9.5,82592.73,25.3
692.2,61159.37,0.4383,4.8,21947.14,56.0
578.9,53173.76,0.1293,10.7,22606.68,41.4
699.3,20000.0,0.259,12.9,19078.08,45.9
678.7,33912.03,0.1615,3.8,49814.29,49.4
707.9,39438.88,0.1786,3.0,32142.37,29.9
787.1,30435.15,0.2351,4.8,32478.88,52.6
708.6,23102.94,0.1814,13.1,59102.82,45.3
470.9,76072.57,0.5817,2.5,39919.45,48.0
813.4,35049.28,0.2586,8.1,65975.27,60.3
715.8,61527.66,0.1187,1.5,31312.38,39.7
765.8,105977.61,0.2021,4.8,79111.11,50.0
640.1,33932.09,0.0859,0.0,32345.6,58.6
769.8,53180.93,0.397,7.3,34741.57,43.7
826.4,102602.83,0.2068,4.0,100000.0,59.6
574.0,49728.61,0.078,1.0,22017.79,33.6
802.1,48080.45,0.276,0.2,44501.66,59.1
628.6,20000.0,0.5454,6.5,15487.44,43.7
641.9,113229.12,0.2889,0.2,35983.74,50.3
703.7,50911.05,0.392,2.2,20175.02,31.6
850.0,29362.68,0.6047,8.2,75550.97,47.0
558.6,87505.48,0.4412,13.7,41696.34,51.6
652.3,46346.43,0.4129,3.5,26137.18,31.5
706.9,55116.91,0.3954,3.8,32714.55,18.0
755.8,41136.49,0.234,2.4,24160.72,32.9
694.4,82360.65,0.2366,3.2,61561.93,25.7
738.0,79685.85,0.1943,6.3,30978.07,25.4
620.5,45165.95,0.2627,9.4,46674.28,26.4
765.5,57568.8,0.1698,0.2,43165.6,34.4
788.1,123537.68,0.4538,0.9,46533.55,24.9
615.1,61555.84,0.4069,7.2,100000.0,64.4
640.3,45356.85,0.5609,15.4,24925.56,36.1
735.4,114934.79,0.412,4.3,39450.75,42.7
730.3,41209.0,0.1653,14.4,14059.94,30.4
746.1,59110.47,0.0942,1.4,40445.1,41.3
605.6,31122.36,0.2886,1.7,31118.06,58.4
672.1,36744.36,0.271,7.1,80630.37,49.0
664.3,43137.05,0.207,8.0,49951.91,56.7
812.9,75068.84,0.2546,1.6,22710.66,44.3
696.2,95669.9,0.1483,11.2,22419.71,47.3
663.2,45635.47,0.0604,3.8,68709.27,34.9
630.9,82872.64,0.3123,1.6,26744.12,41.7
703.9,54385.76,0.4603,0.6,25390.06,40.8
799.9,80909.86,0.1585,8.4,34912.46,52.8
578.8,38460.84,0.3746,2.0,48843.33,41.5
713.1,65332.86,0.1313,3.3,30825.67,38.5
744.9,52844.63,0.2658,0.3,37671.67,44.9
850.0,61027.11,0.3079,7.0,28020.79,48.2
758.7,198814.4,0.1568,0.0,15759.09,32.4
813.0,66177.99,0.3694,0.2,14041.2,37.3
707.5,115646.17,0.6493,11.6,13916.82,71.3
591.8,98196.36,0.5251,3.4,22294.14,55.9
589.2,26786.53,0.2849,0.2,39723.31,28.5
645.9,70520.73,0.2281,2.0,45470.73,47.5
714.8,98377.92,0.4947,5.9,31716.92,39.0
680.6,26529.75,0.5266,5.0,100000.0,25.4
666.1,38554.38,0.3236,1.4,26418.68,38.7
849.7,250000.0,0.476,3.0,55093.12,29.9
510.6,60489.53,0.4193,1.7,22380.92,57.1
619.1,46495.82,0.134,1.9,26920.82,53.1
850.0,58960.62,0.2052,3.2,45504.65,54.4
728.6,37877.45,0.1872,7.0,23303.43,39.8
649.6,61206.34,0.2564,9.3,15221.82,25.2
613.1,64928.99,0.2392,1.6,12091.66,32.7
768.7,50327.5,0.181,5.6,13915.42,53.7
760.2,117849.35,0.4825,7.4,59538.88,46.2
769.2,136412.71,0.1787,0.6,35657.31,40.2
599.1,97680.41,0.388,0.4,24969.96,38.2
714.6,39500.19,0.372,22.5,25652.81,44.5
685.9,44784.01,0.3881,14.1,15663.06,33.9
739.5,29657.26,0.619,2.2,26575.8,39.0
573.2,70707.33,0.2352,0.8,31163.47,65.0
751.7,45790.97,0.3395,1.1,52179.56,71.3
827.6,43860.19,0.0624,8.0,100000.0,49.9
593.1,41196.18,0.1092,13.1,42731.09,22.9
774.4,65169.17,0.2314,4.5,24071.8,67.2
839.0,62521.96,0.2496,5.9,48895.5,41.3
775.5,32518.25,0.409,8.7,44675.54,22.3
700.1,123786.9,0.4345,2.6,19171.69,37.0
714.6,63055.93,0.199,9.6,27980.12,55.2
661.3,29243.72,0.4341,5.5,33973.34,33.0
722.0,88456.54,0.2631,5.8,23198.81,41.7
620.1,37649.22,0.2487,2.9,33563.44,45.8
708.7,143672.71,0.3238,1.4,73890.03,18.0
636.3,113269.6,0.1474,0.2,70605.14,61.8
587.0,76017.14,0.4674,2.4,25417.55,42.4
825.8,186646.42,0.337,7.9,33725.64,41.2
554.5,37084.05,0.3114,0.9,36750.91,56.5
849.1,67549.18,0.1967,7.7,31458.54,18.0
528.2,50826.57,0.3631,1.9,42040.46,51.3
780.4,37015.93,0.3249,8.5,14795.31,44.5
719.9,30468.35,0.3474,8.6,36430.86,43.2
573.7,101365.81,0.4089,4.6,20447.18,38.9
663.6,51358.21,0.1415,12.6,49243.54,54.3
622.1,35902.92,0.4596,3.8,26476.65,18.1
627.5,44484.35,0.4022,2.9,11811.47,45.7
776.1,250000.0,0.3263,1.4,45039.37,50.1
609.4,58707.91,0.5055,3.1,18631.18,58.2
548.8,40706.18,0.2259,1.8,56308.5,70.2
795.1,51704.56,0.2768,4.2,14043.28,26.1
736.3,104799.85,0.7087,14.6,59822.1,29.8
704.9,54640.23,0.2488,22.1,21118.13,50.6
681.8,52542.52,0.483,2.3,100000.0,55.7
761.2,55749.51,0.4376,1.3,47860.07,49.1
734.9,44370.9,0.105,0.3,94600.65,54.9
695.5,50659.1,0.1535,17.4,59471.56,35.8
656.9,115027.66,0.3322,1.5,43441.81,54.8
792.2,51573.91,0.4703,8.7,14223.25,38.1
822.8,55178.06,0.3011,1.0,77344.16,35.8
743.0,20000.0,0.4059,3.0,49407.92,46.5
850.0,81510.87,0.7073,8.5,37406.93,24.0
723.3,106802.21,0.3411,1.5,49464.94,60.7
720.1,40797.2,0.3873,5.6,43681.32,55.4
828.3,72800.64,0.204,15.1,56129.13,58.1
729.0,33306.47,0.2736,12.9,20470.08,18.0
726.3,67264.68,0.3092,4.9,51487.96,40.2
676.1,68604.47,0.3155,7.1,24185.06,56.1
744.0,20000.0,0.2951,6.6,19150.27,32.1
568.4,98770.94,0.2912,7.5,37958.68,59.4
645.8,110682.33,0.4612,7.7,15517.75,56.5
617.3,53225.34,0.7818,3.7,29907.31,73.4
527.5,33094.22,0.2284,1.0,21545.59,32.5
793.6,56989.33,0.2931,0.1,29003.33,46.0
678.1,53131.59,0.4728,0.9,63153.23,31.7
633.5,91291.97,0.281,0.8,41933.13,40.9
735.8,55680.23,0.145,18.6,35828.68,39.1
603.9,53712.01,0.2068,5.0,48118.36,18.0
778.0,94735.25,0.344,22.5,23198.52,71.4
819.4,79871.67,0.2029,2.8,61146.33,28.4
588.8,60359.81,0.3682,4.2,53584.18,41.0
801.6,40842.71,0.4102,14.1,57344.11,53.8
721.7,39472.65,0.0965,1.8,26072.67,35.4
797.2,41138.93,0.341,1.4,36437.76,50.6
721.2,38604.41,0.1536,3.2,72100.76,38.3
636.5,47920.73,0.2215,1.3,41385.59,41.6
575.5,104445.62,0.3449,5.0,48315.98,49.2
614.8,48810.59,0.3049,1.8,23895.45,67.2
664.3,51101.04,0.2255,1.8,23567.57,41.7
790.8,20732.88,0.1436,0.1,25781.93,38.2
756.8,97634.65,0.3083,0.5,16684.12,44.9
729.7,48141.01,0.5249,10.0,45682.83,57.9
824.4,79928.69,0.1405,0.6,40481.73,44.1
555.7,74670.33,0.3779,12.3,27606.79,66.3
609.8,41895.76,0.359,4.9,81185.92,35.1
612.3,74425.23,0.1776,1.5,13912.59,42.6
710.7,27595.98,0.4123,5.3,91418.39,28.8
570.0,41048.95,0.2176,0.5,53615.61,33.7
657.8,123470.52,0.1594,0.3,34516.33,49.3
816.3,36389.21,0.2859,2.2,52521.52,50.1
786.5,72264.8,0.2245,2.7,100000.0,57.4
831.1,58793.31,0.0991,2.2,34183.36,57.5
659.4,39090.47,0.1704,6.6,100000.0,41.8
621.8,122511.08,0.2286,7.6,23089.88,62.0
727.4,54576.18,0.08,3.6,8248.16,56.4
630.6,85245.38,0.5774,1.9,23197.65,46.8
698.4,164351.01,0.2521,15.8,100000.0,29.0
694.7,27352.94,0.4034,6.3,79483.83,44.7
749.1,55522.2,0.1355,0.4,30379.25,47.9
822.5,91872.95,0.1795,7.0,14517.63,37.7
818.4,55135.5,0.1456,2.1,37097.33,53.9
781.9,104417.6,0.3344,17.4,38412.17,39.9
689.3,79557.42,0.2144,6.9,34229.3,45.2
759.6,64842.29,0.5541,5.8,9203.24,52.3
675.2,73458.62,0.3525,8.7,25355.22,46.7
632.0,38619.61,0.1104,10.0,43744.72,31.8
582.5,26334.81,0.5162,6.5,53877.37,39.5
659.6,22964.23,0.3902,13.5,17677.37,40.0
746.9,66061.01,0.5764,13.1,20586.19,33.6
761.9,34627.2,0.0811,1.5,33584.12,45.2
709.8,113355.24,0.123,5.1,63525.05,42.5
753.7,31157.22,0.0812,2.6,78666.28,32.7
660.7,23715.22,0.3924,3.4,23391.73,64.6
841.8,20686.52,0.3996,1.2,29398.14,45.9
718.9,116036.69,0.3844,10.7,50434.07,45.1
680.8,58679.09,0.4731,0.3,46348.83,38.5
760.8,75708.86,0.4177,0.1,24861.72,53.4
694.4,30636.54,0.1334,1.9,14332.97,39.5
734.3,124371.08,0.4179,1.9,25476.26,42.4
827.5,26778.07,0.1358,8.4,24277.53,40.9
641.8,55825.44,0.4646,5.1,71948.04,63.0
684.9,45394.52,0.3724,11.9,26915.09,42.7
693.1,96147.55,0.3239,21.4,17033.59,44.3
711.7,31984.6,0.557,4.3,55181.14,40.9
850.0,46077.85,0.1147,12.8,61578.76,53.5
781.9,48501.25,0.1493,3.2,87396.39,48.1
814.5,54860.69,0.1781,4.4,37758.51,36.4
501.7,57188.68,0.292,3.6,26528.04,37.8
749.8,82138.47,0.708,4.2,30615.36,52.7
732.2,91811.92,0.4582,15.0,11394.34,33.8
753.6,48433.97,0.4552,8.4,36075.42,35.0
711.6,53114.58,0.098,11.8,16796.08,25.3
656.4,62291.21,0.3936,5.7,29524.46,39.6
767.8,69758.83,0.3135,2.8,29041.96,37.4
694.3,54383.64,0.0624,0.7,11935.37,71.8
709.7,75277.88,0.1675,6.2,51329.14,28.3
661.7,66709.56,0.5031,5.9,20162.49,32.9
693.5,86403.38,0.2481,7.6,43390.07,38.6
752.8,42006.14,0.2364,2.6,28497.37,50.4
776.0,64040.6,0.4652,6.0,53973.47,67.2
707.1,43181.32,0.1559,3.4,21560.38,54.9
716.8,23494.82,0.3823,5.1,83624.85,53.1
693.5,40379.87,0.4332,1.1,30209.41,69.0
781.8,62309.45,0.2668,3.0,64022.17,52.7
674.7,44519.22,0.2245,0.2,81968.54,55.8
686.0,34952.41,0.2351,4.7,21288.69,50.2
718.3,80747.21,0.1494,5.1,58129.52,35.2
675.0,106462.55,0.2981,9.0,19723.28,21.6
733.3,80837.88,0.3504,5.1,29982.43,45.9
842.6,81473.79,0.2192,5.9,43606.13,33.1
709.0,29630.05,0.1471,3.8,41515.66,28.6
828.7,75659.65,0.1597,1.7,28523.03,59.8
785.3,131706.42,0.4209,1.2,17161.05,43.0
725.0,111598.72,0.3573,3.6,35810.2,41.2
766.6,60472.13,0.3064,2.6,19945.34,63.9
827.4,104151.71,0.3258,8.1,74737.03,51.1
642.3,51199.6,0.1736,3.5,21363.56,40.6
767.9,48886.44,0.5041,2.2,28777.09,35.2
811.3,73180.1,0.0807,2.1,35609.18,39.8
651.4,71930.19,0.1823,0.4,8970.35,35.1
819.7,42529.64,0.1459,0.2,23374.6,51.2
764.6,52644.61,0.14,5.5,56039.0,49.1
646.1,99232.35,0.0814,3.8,72227.16,47.7
748.4,45329.92,0.1971,7.9,43675.3,57.1
596.9,62731.12,0.2522,2.6,40204.64,46.2
612.3,68257.22,0.0562,1.9,34578.12,52.5
589.0,94680.38,0.4681,0.4,26450.93,40.3
731.2,55898.42,0.327,0.2,83594.47,65.0
679.5,67143.03,0.1112,0.0,76748.16,46.6
648.2,105828.03,0.194,0.5,20696.86,45.9
666.5,45811.23,0.2854,0.0,34159.41,73.1
701.8,42099.52,0.0896,0.1,61655.69,40.8
681.5,28767.31,0.2377,5.8,41147.42,65.9
668.0,83969.77,0.4177,10.9,42344.67,47.6
721.0,45821.18,0.0976,1.0,57583.2,68.0
631.2,44059.32,0.4283,0.4,44673.45,50.5
664.3,23628.07,0.3618,11.1,20897.34,30.8
801.3,46379.12,0.4067,1.9,50051.02,45.6
735.9,35715.79,0.3545,28.7,51388.12,30.6
562.2,49399.24,0.3092,5.2,40481.51,52.6
832.8,48603.28,0.147,2.1,33099.54,55.2
639.0,58510.45,0.2564,4.6,31927.26,45.8
841.1,129788.52,0.2602,4.5,17761.46,39.4
715.8,33444.8,0.3877,4.9,20514.13,40.0
785.8,55395.45,0.2456,1.1,23143.41,37.1
564.8,43584.34,0.3327,0.8,100000.0,37.8
644.9,49875.99,0.2368,3.2,52252.58,35.6
655.1,62853.19,0.5396,2.4,30212.74,28.7
661.4,90065.95,0.538,18.8,60964.33,60.5
643.4,61402.38,0.147,0.5,59846.81,45.1
655.4,64899.62,0.4129,1.9,32223.11,57.2
696.3,81199.37,0.0822,5.4,60423.87,57.9
656.7,63091.39,0.3664,0.6,28403.32,53.8
693.8,47505.1,0.231,4.5,13193.97,33.7
732.3,58584.31,0.1757,1.9,31433.89,36.3
563.4,62973.32,0.3988,0.5,54195.8,50.7
686.5,26977.49,0.3311,5.2,100000.0,51.5
627.5,86767.41,0.0877,0.7,12466.22,36.3
697.4,64846.45,0.1884,0.6,11882.81,31.6
754.0,84641.32,0.3356,3.8,15257.11,57.6
593.2,66733.01,0.113,4.4,25817.13,63.8
674.2,32586.77,0.1959,5.4,58744.54,48.0
778.8,43285.54,0.0539,6.6,100000.0,26.8
789.0,59568.07,0.2557,9.5,83724.2,35.1
663.0,32884.26,0.4862,17.4,13072.83,71.0
776.7,107619.0,0.4307,4.1,19243.98,43.2
728.9,33309.67,0.3207,4.3,62296.46,52.3
709.7,134445.91,0.4004,2.5,32336.7,59.8
665.1,69140.8,0.3908,4.9,46665.75,39.3
727.0,79415.08,0.3192,2.3,24958.44,33.5
759.5,33614.77,0.0514,2.8,78059.92,50.7
